StreetName,StreetAddress,DivisionBlock,,
Cedar St,2644,A2,,
La Vereda Rd,1555,,,
La Vereda Rd,1732,,,
La Vereda Rd,1609,,,
Hilgard Ave,2694,,,
La Loma Ave,1700,,,
La Loma Ave,1700,,,
Buena Vista Way,2750,A3,,
Virginia St,2711,,,
La Vereda Rd,1595,,,
Virginia St,2708,,,
La Loma Ave,1705,,,
La Vereda Rd,1590,,,
La Vereda Rd,1629,,,
La Loma Ave,1683,,,
Hilgard Ave,2672,,,
La Vereda Rd,1590,,,
La Vereda Rd,1590,,,
La Loma Ave,1530,,,
La Loma Ave,1641,,,
La Loma Ave,1641,,,
La Loma Ave,1705,,,
La Loma Ave,1709,,,
La Vereda Rd,1631,,,
La Vereda Rd,1732,,,
Le Conte Ave,2695,,,
La Loma Ave,1675,,,
La Vereda Rd,1606,,,
La Vereda Rd,1606,,,
La Loma Ave,1647,,,
La Loma Ave,1530,,,
La Vereda Rd,1615,,,
La Vereda Rd,1615,B1,,
La Vereda Rd,1615,B1,,
Le Conte Ave,2695,C1,,
Virginia St,2706,B2,,
La Loma Ave,1628,,,
Cedar St,2661,,,
Hilgard Ave,2672,,,
Virginia St,2666,,,
La Vereda Rd,1680,,,
La Vereda Rd,1730,,,
Le Roy Ave,1619,,,
Le Conte Ave,2634,,,
La Vereda Rd,1616,,,
La Vereda Rd,1589,,,
Le Conte Ave,2611,,,
La Vereda Rd,1731,,,
Hilgard Ave,2776,,,
La Vereda Rd,1551,A1,,
Virginia St,2666,,,
Hilgard Ave,2776,,,
Le Conte Ave,2663,C3,,
La Vereda Rd,1591,,,
Cedar St,2647,,,
La Loma Ave,1644,,,
Le Roy Ave,1643,A2,,
La Vereda Rd,1616,,,
La Vereda Rd,1603,B1,,
La Vereda Rd,1603,B1,,
La Loma Ave,1683,C2,,
La Loma Ave,1670,C1,,
La Vereda Rd,1629,,,
La Vereda Rd,1616,,,
La Vereda Rd,1553,,,
Ridge Rd,2615,,,
Virginia St,2655,,,
La Vereda Rd,1616,,,
La Vereda Rd,1601,,,
Virginia St,2711,,,
Virginia St,2634,,,
Virginia St,2701,,,
Virginia St,2701,,,
Hilgard Ave,2777,,,
Le Roy Ave,1597,,,
La Loma Ave,1715,,,
Hilgard Ave,2805,,,
La Vereda Rd,1551,,,
Buena Vista Way,2750,,,
Le Conte Ave,2634,,,Yes
La Loma Ave,1640,,,
Hilgard Ave,2772,,,
La Vereda Rd,1570,A3,,
La Vereda Rd,1570,A3,,
La Loma Ave,1546,,,
Virginia St,2711,,,
La Vereda Rd,1553,,,
La Loma Ave,1709,,,
La Vereda Rd,1701,,,
La Vereda Rd,1701,,,
La Loma Ave,1636,,,
Hilgard Ave,2692,,,
Hilgard Ave,2709,,,
La Vereda Rd,1639,,,
La Vereda Rd,1639,,,
La Vereda Rd,1639,,,
Virginia St,2711,,,
La Loma Ave,1644,,,
La Loma Ave,1680,,,
La Vereda Rd,1595,,,
La Loma Ave,1643,,,
La Vereda Rd,1585,,,
La Vereda Rd,1585,,,
Cedar St,2696,,,
Cedar St,2696,,,
La Vereda Rd,1730,,,
Le Conte Ave,2617,,,
Virginia St,2634,,,
Virginia St,2711,,,
Virginia St,2711,,,
Virginia St,2634,,,
Virginia St,2634,,,
Hilgard Ave,2670,,,
Hilgard Ave,2692,,,
Hilgard Ave,2694,,,
Le Conte Ave,2617,,,
Le Roy Ave,1597,,,
Le Roy Ave,1619,,,
La Loma Ave,1525,,,
La Loma Ave,1525,,,
La Vereda Rd,1724,,,
La Vereda Rd,1616,,,
Cedar St,2649,,,
La Vereda Rd,1553,,,
La Vereda Rd,1553,,,
Le Conte Ave,2669,,,
Le Roy Ave,1643,,,
La Loma Ave,1546,,,
Hilgard Ave,2680,,,
La Loma Ave,1645,,,
La Loma Ave,1530,,,
Cedar St,2647,,,
La Vereda Rd,1735,,,
Le Roy Ave,1643,,,
Virginia St,2656,,,
La Loma Ave,1530,,,
La Loma Ave,1675,,,
La Vereda Rd,?,,,
Cedar St,2639,,,
Cedar St,2639,,,
La Loma Ave,1600,,,
La Vereda Rd,1700,,,
La Vereda Rd,1700,,,
La Vereda Rd,1680,,,
La Loma Ave,1643,,,
La Loma Ave,1683,,,
Hilgard Ave,2682,,,
La Loma Ave,1683,,,
Virginia St,2655,,,
La Loma Ave,1715,,,
Virginia St,2655,,,
Virginia St,2655,,,
Le Roy Ave,1619,,,
Virginia St,2708,,,
Le Conte Ave,2663,,,
La Vereda Rd,1606,,,
La Vereda Rd,1606,,,
La Loma Ave,1688,,,
La Vereda Rd,1633,,,
La Vereda Rd,1590,,,
Hilgard Ave,2670,,,
Virginia St,2708,,,
La Loma Ave,1680,,,
Le Roy Ave,1643,,,
Le Roy Ave,1643,,,
La Loma Ave,1636,,,
Le Conte Ave,2611,,,
La Loma Ave,1628,,,
La Vereda Rd,1724,,,
Hilgard Ave,2772,,,
La Vereda Rd,1731,,,
La Vereda Rd,1735,,,
La Vereda Rd,1735,,,
La Vereda Rd,1631,,,
Hilgard Ave,2650,,,
Hilgard Ave,2672,,,
La Loma Ave,1600,,,
La Vereda Rd,1629,,,
